[0.006s][info][gc] Using The Z Garbage Collector
[0.131s][info][gc] GC(0) Garbage Collection (Warmup) 6M(20%)->6M(20%)
[0.237s][info][gc] GC(1) Garbage Collection (Warmup) 6M(20%)->4M(13%)
[6.934s][info][gc] GC(2) Garbage Collection (Warmup) 16M(53%)->10M(33%)
[7.139s][info][gc] GC(3) Garbage Collection (Allocation Rate) 20M(67%)->8M(27%)
[7.250s][info][gc] GC(4) Garbage Collection (Allocation Rate) 14M(47%)->10M(33%)
[7.339s][info][gc] GC(5) Garbage Collection (Allocation Rate) 10M(33%)->8M(27%)
[7.432s][info][gc] GC(6) Garbage Collection (Allocation Rate) 10M(33%)->8M(27%)
[7.543s][info][gc] GC(7) Garbage Collection (Allocation Rate) 10M(33%)->8M(27%)
[7.635s][info][gc] GC(8) Garbage Collection (Allocation Rate) 10M(33%)->8M(27%)
[8.339s][info][gc] GC(9) Garbage Collection (Proactive) 12M(40%)->10M(33%)
[15.033s][info][gc] GC(10) Garbage Collection (Proactive) 14M(47%)->12M(40%)
[37.232s][info][gc] GC(11) Garbage Collection (Proactive) 16M(53%)->12M(40%)
[63.646s][info][gc] GC(12) Garbage Collection (Proactive) 16M(53%)->10M(33%)
[75.354s][info][gc] GC(13) Garbage Collection (Proactive) 14M(47%)->8M(27%)
[88.331s][info][gc] GC(14) Garbage Collection (Proactive) 12M(40%)->10M(33%)
[97.236s][info][gc] GC(15) Garbage Collection (Proactive) 14M(47%)->10M(33%)
[110.330s][info][gc] GC(16) Garbage Collection (Proactive) 14M(47%)->10M(33%)
[124.334s][info][gc] GC(17) Garbage Collection (Proactive) 14M(47%)->10M(33%)
[136.341s][info][gc] GC(18) Garbage Collection (Proactive) 14M(47%)->10M(33%)
[152.334s][info][gc] GC(19) Garbage Collection (Proactive) 14M(47%)->10M(33%)
[168.446s][info][gc] GC(20) Garbage Collection (Proactive) 14M(47%)->10M(33%)
[184.455s][info][gc] GC(21) Garbage Collection (Proactive) 14M(47%)->10M(33%)
[198.429s][info][gc] GC(22) Garbage Collection (Proactive) 14M(47%)->10M(33%)
[214.436s][info][gc] GC(23) Garbage Collection (Proactive) 14M(47%)->10M(33%)
[230.432s][info][gc] GC(24) Garbage Collection (Proactive) 14M(47%)->10M(33%)
[244.439s][info][gc] GC(25) Garbage Collection (Proactive) 14M(47%)->10M(33%)
[258.445s][info][gc] GC(26) Garbage Collection (Proactive) 14M(47%)->10M(33%)
[274.437s][info][gc] GC(27) Garbage Collection (Proactive) 14M(47%)->10M(33%)
[290.545s][info][gc] GC(28) Garbage Collection (Proactive) 14M(47%)->10M(33%)
[307.231s][info][gc] GC(29) Garbage Collection (Proactive) 14M(47%)->10M(33%)
[320.532s][info][gc] GC(30) Garbage Collection (Proactive) 14M(47%)->10M(33%)
[334.534s][info][gc] GC(31) Garbage Collection (Proactive) 14M(47%)->10M(33%)
[350.530s][info][gc] GC(32) Garbage Collection (Proactive) 14M(47%)->10M(33%)
[366.544s][info][gc] GC(33) Garbage Collection (Proactive) 14M(47%)->10M(33%)
[380.537s][info][gc] GC(34) Garbage Collection (Proactive) 14M(47%)->10M(33%)
[394.543s][info][gc] GC(35) Garbage Collection (Proactive) 14M(47%)->10M(33%)
[410.651s][info][gc] GC(36) Garbage Collection (Proactive) 14M(47%)->10M(33%)
[426.640s][info][gc] GC(37) Garbage Collection (Proactive) 14M(47%)->10M(33%)
[440.636s][info][gc] GC(38) Garbage Collection (Proactive) 14M(47%)->10M(33%)
[456.641s][info][gc] GC(39) Garbage Collection (Proactive) 14M(47%)->10M(33%)
[470.644s][info][gc] GC(40) Garbage Collection (Proactive) 14M(47%)->10M(33%)
[486.645s][info][gc] GC(41) Garbage Collection (Proactive) 14M(47%)->10M(33%)
[500.634s][info][gc] GC(42) Garbage Collection (Proactive) 14M(47%)->10M(33%)
[516.642s][info][gc] GC(43) Garbage Collection (Proactive) 14M(47%)->10M(33%)
[532.750s][info][gc] GC(44) Garbage Collection (Proactive) 14M(47%)->10M(33%)
[548.753s][info][gc] GC(45) Garbage Collection (Proactive) 14M(47%)->10M(33%)
[562.737s][info][gc] GC(46) Garbage Collection (Proactive) 14M(47%)->10M(33%)
[578.734s][info][gc] GC(47) Garbage Collection (Proactive) 14M(47%)->10M(33%)
[595.532s][info][gc] GC(48) Garbage Collection (Proactive) 14M(47%)->10M(33%)
[608.735s][info][gc] GC(49) Garbage Collection (Proactive) 14M(47%)->10M(33%)
[622.740s][info][gc] GC(50) Garbage Collection (Proactive) 14M(47%)->10M(33%)
[639.637s][info][gc] GC(51) Garbage Collection (Proactive) 14M(47%)->10M(33%)
[653.641s][info][gc] GC(52) Garbage Collection (Proactive) 14M(47%)->10M(33%)
[669.831s][info][gc] GC(53) Garbage Collection (Proactive) 14M(47%)->10M(33%)
[683.833s][info][gc] GC(54) Garbage Collection (Proactive) 14M(47%)->10M(33%)
[700.630s][info][gc] GC(55) Garbage Collection (Proactive) 14M(47%)->10M(33%)
[716.839s][info][gc] GC(56) Garbage Collection (Proactive) 14M(47%)->10M(33%)
[733.643s][info][gc] GC(57) Garbage Collection (Proactive) 14M(47%)->10M(33%)
[747.842s][info][gc] GC(58) Garbage Collection (Proactive) 14M(47%)->10M(33%)
[764.946s][info][gc] GC(59) Garbage Collection (Proactive) 14M(47%)->10M(33%)
